,True_value,Prediction_value,method
0,0.751238,0.6091601979632792,Ensemble
1,0.8531989999999999,0.7108578985695919,Ensemble
2,0.943728,0.7693375335394702,Ensemble
3,0.993268,0.9103536616155882,Ensemble
4,1.0,0.9390484996676627,Ensemble
5,1.0,0.9773312063147002,Ensemble
6,1.0,0.9839465642910503,Ensemble
7,1.0,0.9888406120693127,Ensemble
8,1.0,0.9580573038944614,Ensemble
9,1.0,0.9591865047934296,Ensemble
10,1.0,0.9585405502935558,Ensemble
11,1.0,0.960777213788878,Ensemble
12,1.0,0.9627553907078628,Ensemble
13,1.0,0.9678423720848222,Ensemble
14,0.992132,0.9721967598385405,Ensemble
15,0.9828879999999999,0.9353931643665592,Ensemble
16,0.976525,0.9000515559190216,Ensemble
17,0.176334,0.1550762550844454,Ensemble
18,0.415945,0.330733817009822,Ensemble
19,0.46367700000000006,0.4214602332329115,Ensemble
20,0.592565,0.6575504140422634,Ensemble
21,0.667879,0.7933633939042402,Ensemble
22,0.8766879999999999,0.9416069319091778,Ensemble
23,0.9146,0.9742155873785869,Ensemble
24,0.929483,0.9835444024236413,Ensemble
25,0.802005,0.7961148050386427,Ensemble
26,0.905466,0.8320224174681696,Ensemble
27,0.943369,0.8775503206830608,Ensemble
28,0.962987,0.9063114031998828,Ensemble
29,0.9729479999999999,0.9248698195336286,Ensemble
30,0.993036,0.9441783040665179,Ensemble
31,0.055783000000000006,0.05710176611294638,Ensemble
32,0.198115,0.12387414945336944,Ensemble
33,0.425558,0.39534897395573776,Ensemble
34,0.5942729999999999,0.5756282088914013,Ensemble
35,0.824724,0.8237886641999389,Ensemble
36,0.9310780000000001,0.9192185157570336,Ensemble
37,0.968672,0.9594898433074706,Ensemble
38,0.460138,0.37014312708185104,Ensemble
39,0.5951810000000001,0.5605719901468014,Ensemble
40,0.989059,0.9007879067849177,Ensemble
41,0.22138400000000003,0.18183412021163514,Ensemble
42,0.41922299999999996,0.36008220254374657,Ensemble
43,0.674678,0.6776734449648397,Ensemble
44,0.788187,0.8043363562893239,Ensemble
45,0.941575,0.9333383231042736,Ensemble
46,0.962406,0.9715271965702389,Ensemble
47,0.9655389999999999,0.9791066529630928,Ensemble
48,0.881878,0.7986102272330425,Ensemble
49,0.9108879999999999,0.8360063542817602,Ensemble
50,0.9309790000000001,0.8876066374626962,Ensemble
51,0.935016,0.9199971918340085,Ensemble
52,0.954363,0.936214304592195,Ensemble
53,0.9669709999999999,0.9550779908240457,Ensemble
54,0.736496,0.6331650017875612,Ensemble
55,0.8323799999999999,0.7767242675579605,Ensemble
56,0.992706,0.96556324537255,Ensemble
57,0.27949,0.17279825293752948,Ensemble
58,0.5017590000000001,0.34902132523269086,Ensemble
59,0.714899,0.674484989933508,Ensemble
60,0.812617,0.810690714266687,Ensemble
61,0.9654309999999999,0.9403542574483916,Ensemble
62,1.0,0.9747010833674808,Ensemble
63,1.0,0.9807086557598369,Ensemble
64,0.8560760000000001,0.8123070633229357,Ensemble
65,0.8749020000000001,0.843202228885166,Ensemble
66,0.9525049999999999,0.8890725544827264,Ensemble
67,0.954363,0.9207381739894829,Ensemble
68,0.976492,0.9382103759195375,Ensemble
69,0.9864299999999999,0.9584408173222831,Ensemble
70,0.749358,0.627239227608594,Ensemble
71,0.8270290000000001,0.7798810808533991,Ensemble
72,1.0,0.9700606389437167,Ensemble
73,0.069008,0.07555597549808674,Ensemble
74,0.1993,0.12694471897882864,Ensemble
75,0.323403,0.18369629610868451,Ensemble
76,0.539916,0.3939159594086289,Ensemble
77,0.876238,0.8020035752298318,Ensemble
78,0.9572129999999999,0.9034681224287646,Ensemble
79,0.978139,0.94069178447778,Ensemble
80,0.457384,0.5394097038052525,Ensemble
81,0.491417,0.585838905737796,Ensemble
82,0.651755,0.6657705393724667,Ensemble
83,0.71111,0.7550132917620271,Ensemble
84,0.954667,0.8011506258993165,Ensemble
85,0.9927739999999999,0.869572322753316,Ensemble
86,0.46060500000000004,0.3515656238599014,Ensemble
87,0.603585,0.5468827682978065,Ensemble
88,0.9888549999999999,0.9007257002020286,Ensemble
89,0.983883,0.8984704485058506,Ensemble
90,0.462933,0.49198677744136227,Ensemble
91,0.27697,0.30399410880508015,Ensemble
92,0.24788600000000002,0.244524771635516,Ensemble
93,0.299075,0.29965297977816935,Ensemble
94,0.498629,0.37711003139475474,Ensemble
95,0.732787,0.5173083677852672,Ensemble
96,0.842218,0.6320483908649273,Ensemble
97,0.940118,0.6961024324827585,Ensemble
98,0.264465,0.4740149190347073,Ensemble
99,0.514159,0.5966407685719552,Ensemble
100,0.625546,0.6590162037994943,Ensemble
101,0.850549,0.85580507177438,Ensemble
102,0.8958,0.9095532749978084,Ensemble
103,1.0,0.9704903326037746,Ensemble
104,1.0,0.9806239867509096,Ensemble
105,1.0,0.9886145653094902,Ensemble
106,0.964375,0.9395410808048832,Ensemble
107,0.974174,0.942181282857614,Ensemble
108,0.980441,0.9432554349294944,Ensemble
109,0.993459,0.9464916384803634,Ensemble
110,1.0,0.9491834072492137,Ensemble
111,1.0,0.955960843718053,Ensemble
112,0.984567,0.9625683399742282,Ensemble
113,0.9439299999999999,0.8927720416695806,Ensemble
114,0.890797,0.8230263852346973,Ensemble
115,0.905101,0.6026784054076331,Ensemble
116,0.9123549999999999,0.6864824339113645,Ensemble
117,0.9478559999999999,0.7615430349202301,Ensemble
118,0.98564,0.9318300096427896,Ensemble
119,1.0,0.963668100582721,Ensemble
120,1.0,0.9875661147206778,Ensemble
121,1.0,0.9907322996115653,Ensemble
122,1.0,0.9932394535406286,Ensemble
123,1.0,0.9740770923872314,Ensemble
124,1.0,0.975072712921839,Ensemble
125,1.0,0.9763203672213928,Ensemble
126,1.0,0.9774750365070899,Ensemble
127,1.0,0.9784402529379127,Ensemble
128,1.0,0.9812719534601304,Ensemble
129,1.0,0.9832759473864567,Ensemble
130,0.993511,0.951820920430401,Ensemble
131,0.9791780000000001,0.9113675890345511,Ensemble
132,0.013036,0.02844222863591373,Ensemble
133,0.044092,0.06306921872909681,Ensemble
134,0.053767999999999996,0.07502103888096016,Ensemble
135,0.20166099999999998,0.15186681695898974,Ensemble
136,0.277251,0.26438157056188827,Ensemble
