,True_value,Prediction_value,method
0,0.992785,0.9560686134014242,LGB
1,0.810932,0.9305354810693003,LGB
2,0.9851270000000001,0.9709944442522741,LGB
3,0.200544,0.2837588500377026,LGB
4,0.074312,0.11725495776195592,LGB
5,0.38299099999999997,0.4745527043904542,LGB
6,1.0,0.9526484674653133,LGB
7,1.0,0.988071608223972,LGB
8,0.952414,0.7673491537547544,LGB
9,0.97493,0.9846351531101969,LGB
10,0.636309,0.6329043547546891,LGB
11,0.985196,0.9299553517885114,LGB
12,0.224345,0.2914473099767907,LGB
13,1.0,0.9868275314237094,LGB
14,0.963305,0.9472993922880969,LGB
15,0.050954,0.07454178040500291,LGB
16,0.48117200000000004,0.23518948366965636,LGB
17,0.0,0.021870691993333573,LGB
18,0.053767999999999996,0.06850768275176519,LGB
19,0.8930450000000001,0.6701861966758825,LGB
20,0.03474,0.07086906326128749,LGB
21,0.36576,0.3274013198046422,LGB
22,0.56902,0.6041138610263304,LGB
23,0.889914,0.8881833670461035,LGB
24,0.680283,0.727646549871983,LGB
25,0.9964940000000001,0.9862829862965207,LGB
26,0.935524,0.9264680566354703,LGB
27,0.797093,0.767289602881815,LGB
28,0.28033800000000003,0.35683274364337714,LGB
29,0.027285000000000004,0.35747989227996035,LGB
30,0.9663719999999999,0.8551935103685643,LGB
31,0.066362,0.16090343034010277,LGB
32,0.538509,0.6112641428166217,LGB
33,0.760949,0.7866778178914958,LGB
34,0.9962850000000001,0.9608592525991414,LGB
35,1.0,0.9873336519499101,LGB
36,0.006756999999999999,0.04100647828525913,LGB
37,0.956109,0.725526726346124,LGB
38,0.986023,0.9889953901506905,LGB
39,0.8328540000000001,0.8692732280916142,LGB
40,0.740294,0.764472018209467,LGB
41,0.386465,0.2802743281711762,LGB
42,1.0,0.9903425711641747,LGB
43,1.0,0.9898773459254916,LGB
44,0.26704,0.4243771549338255,LGB
45,0.824608,0.9383188876697508,LGB
46,1.0,0.9889861488142808,LGB
47,0.010845,0.05438692247005205,LGB
48,0.96586,0.9708312477368167,LGB
49,0.561013,0.7113936139163911,LGB
50,0.827469,0.7180393326666039,LGB
51,1.0,0.9909796135031487,LGB
52,0.759107,0.8394825340966127,LGB
53,0.739799,0.8752855899565303,LGB
54,1.0,0.9810865643001859,LGB
55,1.0,0.9876747647382569,LGB
56,0.922631,0.8789457407260622,LGB
57,0.8235899999999999,0.8841734131628152,LGB
58,0.9864950000000001,0.9899062647090768,LGB
59,0.31909699999999996,0.36834223806281896,LGB
60,0.538948,0.4935283886509954,LGB
61,0.017949,0.13570446112560386,LGB
62,0.298464,0.19777562759255324,LGB
63,0.76032,0.7293081779268076,LGB
64,0.0,0.018329308856084175,LGB
65,0.855399,0.906082652356108,LGB
66,0.529524,0.5215098647440355,LGB
67,1.0,0.9904680287663783,LGB
68,0.8270290000000001,0.8206193711298063,LGB
69,0.767784,0.6845831504405673,LGB
70,0.05487,0.022374610976261675,LGB
71,0.9291,0.9719615989495485,LGB
72,0.331585,0.34958315074714075,LGB
73,1.0,0.9898452002959238,LGB
74,0.236913,0.25720251651867515,LGB
75,0.932701,0.8295513059170603,LGB
76,0.054015,0.15122560585320213,LGB
77,0.485295,0.49128505715247994,LGB
78,0.8922200000000001,0.9506921810142517,LGB
79,0.05583200000000001,0.08769570369513041,LGB
80,0.337832,0.2994408811835941,LGB
81,0.9906969999999999,0.9880096346152111,LGB
82,0.9965370000000001,0.9811873341980434,LGB
83,1.0,0.9677293404885449,LGB
84,0.490324,0.8086888191733467,LGB
85,1.0,0.9737419648047004,LGB
86,0.635097,0.6977786135908022,LGB
87,0.9199379999999999,0.9528022248700022,LGB
88,0.9167270000000001,0.884267625484517,LGB
89,0.8553959999999999,0.38402040151086175,LGB
90,0.213371,0.24195474897923835,LGB
91,0.349249,0.667157533706762,LGB
92,1.0,0.990251268692108,LGB
93,0.7435149999999999,0.7521900665966796,LGB
94,1.0,0.9903304253375473,LGB
95,0.729826,0.6634381289602653,LGB
96,0.020909,0.10191201149038699,LGB
97,0.248786,0.3763630830612652,LGB
98,0.692721,0.6228270262223837,LGB
99,0.984567,0.9923140320476206,LGB
100,0.9770280000000001,0.934382534379459,LGB
101,0.589916,0.6864856101573745,LGB
102,0.604093,0.5927988228585969,LGB
103,0.789434,0.8953593168955286,LGB
104,0.87597,0.9201138026655903,LGB
105,0.975542,0.9184461791771698,LGB
106,0.865658,0.8890229880825365,LGB
107,0.8824299999999999,0.8496922417340745,LGB
108,0.654162,0.6639508188438212,LGB
109,0.993238,0.9803122710335103,LGB
110,0.3839,0.7505552193967425,LGB
111,0.296302,0.28287605809764516,LGB
112,0.989973,0.9795421097220108,LGB
113,0.9210940000000001,0.9133936660087854,LGB
114,0.150134,0.1977613846310176,LGB
115,0.959759,0.9517254823664643,LGB
116,0.892921,0.8862991358028235,LGB
117,0.6872590000000001,0.6978223628756048,LGB
118,0.256801,0.27959898597009164,LGB
119,0.979035,0.977977974546591,LGB
120,0.08285,0.05642489696393224,LGB
121,0.9465680000000001,0.9627726596924262,LGB
122,0.483124,0.3392773333789898,LGB
123,0.23319,0.3508783412745166,LGB
124,1.0,0.9804029738575908,LGB
125,0.736496,0.6698373931991751,LGB
126,0.9854120000000001,0.8889903501536921,LGB
127,0.967892,0.858659229052177,LGB
128,0.7271489999999999,0.8141334905519396,LGB
129,0.455446,0.42359123605608423,LGB
130,0.997043,0.9902077709197505,LGB
131,0.932474,0.9630338051427597,LGB
132,0.780539,0.6309747374834362,LGB
133,0.29941599999999996,0.23092653381936973,LGB
134,1.0,0.9904521000293659,LGB
