,True_value,Prediction_value,method
0,0.992785,0.9354105106900157,Ensemble
1,0.810932,0.8749069448838527,Ensemble
2,0.9851270000000001,0.9668387431694097,Ensemble
3,0.200544,0.27967827851409754,Ensemble
4,0.074312,0.09480301344094497,Ensemble
5,0.38299099999999997,0.4593336463441359,Ensemble
6,1.0,0.9506017511360532,Ensemble
7,1.0,0.9902532368388783,Ensemble
8,0.952414,0.8071721646137598,Ensemble
9,0.97493,0.9788532115371654,Ensemble
10,0.636309,0.6229489223699953,Ensemble
11,0.985196,0.9366423045944692,Ensemble
12,0.224345,0.3133764626202852,Ensemble
13,1.0,0.9847804902725502,Ensemble
14,0.963305,0.9614030930744759,Ensemble
15,0.050954,0.07873535533797713,Ensemble
16,0.48117200000000004,0.4061308698670074,Ensemble
17,0.0,0.011661224756849376,Ensemble
18,0.053767999999999996,0.06892244507169369,Ensemble
19,0.8930450000000001,0.7429985325620959,Ensemble
20,0.03474,0.08344126821715186,Ensemble
21,0.36576,0.36795253402935174,Ensemble
22,0.56902,0.6155097135101759,Ensemble
23,0.889914,0.889441012690166,Ensemble
24,0.680283,0.6574631473653895,Ensemble
25,0.9964940000000001,0.9909460855125873,Ensemble
26,0.935524,0.9002167697643362,Ensemble
27,0.797093,0.7795372656693672,Ensemble
28,0.28033800000000003,0.3281226143622367,Ensemble
29,0.027285000000000004,0.37297410703511374,Ensemble
30,0.9663719999999999,0.8965470520323973,Ensemble
31,0.066362,0.11593163065179538,Ensemble
32,0.538509,0.6197367561824522,Ensemble
33,0.760949,0.7541650552899555,Ensemble
34,0.9962850000000001,0.9647684687648821,Ensemble
35,1.0,0.9921212128782809,Ensemble
36,0.006756999999999999,0.031202760120753046,Ensemble
37,0.956109,0.8245120294925323,Ensemble
38,0.986023,0.9937495779340717,Ensemble
39,0.8328540000000001,0.8508500941500319,Ensemble
40,0.740294,0.7884420250549954,Ensemble
41,0.386465,0.2568246440845571,Ensemble
42,1.0,0.9942283187195655,Ensemble
43,1.0,0.9942988888752305,Ensemble
44,0.26704,0.3385417093433749,Ensemble
45,0.824608,0.9548564013086693,Ensemble
46,1.0,0.9929196364853158,Ensemble
47,0.010845,0.048028204292615,Ensemble
48,0.96586,0.965851897397973,Ensemble
49,0.561013,0.6252081723255272,Ensemble
50,0.827469,0.7753986511811009,Ensemble
51,1.0,0.994571779577003,Ensemble
52,0.759107,0.8132829576805594,Ensemble
53,0.739799,0.8386371387569653,Ensemble
54,1.0,0.9787805337294563,Ensemble
55,1.0,0.9927113561262079,Ensemble
56,0.922631,0.8748775847481557,Ensemble
57,0.8235899999999999,0.8451569306879421,Ensemble
58,0.9864950000000001,0.9943574636564532,Ensemble
59,0.31909699999999996,0.3048213774211721,Ensemble
60,0.538948,0.4352564523895107,Ensemble
61,0.017949,0.08532081745474766,Ensemble
62,0.298464,0.2538489887125788,Ensemble
63,0.76032,0.7907223928864442,Ensemble
64,0.0,0.027957195184545685,Ensemble
65,0.855399,0.9058483872199763,Ensemble
66,0.529524,0.4770406512112955,Ensemble
67,1.0,0.9941733991528947,Ensemble
68,0.8270290000000001,0.8104671325187934,Ensemble
69,0.767784,0.7180324089930348,Ensemble
70,0.05487,0.04411879283358701,Ensemble
71,0.9291,0.9679724139959307,Ensemble
72,0.331585,0.31342112355681745,Ensemble
73,1.0,0.9939790287247656,Ensemble
74,0.236913,0.2890384223012506,Ensemble
75,0.932701,0.84708867177658,Ensemble
76,0.054015,0.09717938434764412,Ensemble
77,0.485295,0.4935396717011919,Ensemble
78,0.8922200000000001,0.9338411161816422,Ensemble
79,0.05583200000000001,0.08044921811963401,Ensemble
80,0.337832,0.3105514302053803,Ensemble
81,0.9906969999999999,0.9925316016710818,Ensemble
82,0.9965370000000001,0.9884580346162786,Ensemble
83,1.0,0.9718470724053707,Ensemble
84,0.490324,0.6954693792225355,Ensemble
85,1.0,0.9751104777149452,Ensemble
86,0.635097,0.6837933765565598,Ensemble
87,0.9199379999999999,0.9488207610135142,Ensemble
88,0.9167270000000001,0.8798816638952869,Ensemble
89,0.8553959999999999,0.29544990857549286,Ensemble
90,0.213371,0.180095290192257,Ensemble
91,0.349249,0.5877312107830804,Ensemble
92,1.0,0.9942430647506897,Ensemble
93,0.7435149999999999,0.7659534078099296,Ensemble
94,1.0,0.9943031078250397,Ensemble
95,0.729826,0.6839983890608742,Ensemble
96,0.020909,0.0728861831189499,Ensemble
97,0.248786,0.32812581076296404,Ensemble
98,0.692721,0.5931498273619138,Ensemble
99,0.984567,0.9921132206749648,Ensemble
100,0.9770280000000001,0.9397347526112345,Ensemble
101,0.589916,0.6319818339882018,Ensemble
102,0.604093,0.5818780824106105,Ensemble
103,0.789434,0.8494591711936367,Ensemble
104,0.87597,0.8838650066642151,Ensemble
105,0.975542,0.9437560904560971,Ensemble
106,0.865658,0.8906983016245011,Ensemble
107,0.8824299999999999,0.86278100842132,Ensemble
108,0.654162,0.6727011693182778,Ensemble
109,0.993238,0.9857011218626965,Ensemble
110,0.3839,0.6194422086798231,Ensemble
111,0.296302,0.25393846105073936,Ensemble
112,0.989973,0.9741117390631544,Ensemble
113,0.9210940000000001,0.9306403777509066,Ensemble
114,0.150134,0.1928787218448204,Ensemble
115,0.959759,0.9565336525088931,Ensemble
116,0.892921,0.9039773476317036,Ensemble
117,0.6872590000000001,0.6969204911805459,Ensemble
118,0.256801,0.2643703026164327,Ensemble
119,0.979035,0.98169685367701,Ensemble
120,0.08285,0.06865931557152655,Ensemble
121,0.9465680000000001,0.9619362983575731,Ensemble
